Gi?i tính,Nam sinh,T?nh liên h?,Ngh? nghi?p,Ngành ngh?,M?c Luong,Tình tr?ng hôn nhân,T?nh
Nam,1995,T?nh Nam Ð?nh,K? su s?n xu?t linh ki?n Camera,Khoa h?c k? thu?t,5068000,,1
Nam,1993,T?nh Ninh Bình,K? su s?n xu?t linh ki?n Camera,Khoa h?c k? thu?t,6343000,,1
Nam,1988,,K? su thu? l?i,Khoa h?c k? thu?t,2943000,,#N/A
Nam,1981,T?nh Nam Ð?nh,K? su tru?ng,Khoa h?c k? thu?t,6500000,,1
Nam,1979,Thành ph? Hà N?i,K? su xây d?ng,Khoa h?c k? thu?t,4729400,,1
Nam,1987,T?nh Qu?ng Nam,K? su Xây d?ng,Khoa h?c k? thu?t,17600000,,2
Nam,1993,Thành ph? Hà N?i,K? su xây d?ng,Khoa h?c k? thu?t,4730000,,1
Nam,1997,T?nh Bình Ð?nh,K? su xây d?ng,Khoa h?c k? thu?t,4390400,,2
Nam,1994,T?nh Phú Th?,K? su xây d?ng,Khoa h?c k? thu?t,4729400,,1
Nam,1995,T?nh Ngh? An,K? su xây d?ng,Khoa h?c k? thu?t,5480800,,2
Nam,1994,T?nh Phú Th?,K? su xây d?ng c?u du?ng - Cán b? k? thu?t,Chính tr? - Nhà nu?c,4800000,,1
Nam,1994,T?nh Thái Bình,"K? su, c? nhân",Khoa h?c k? thu?t,5083000,,1
Nam,2000,T?nh Thanh Hóa,K? th?t viên,Khác,4730000,,2
Nam,1997,T?nh Ngh? An,K? thu?t,Khoa h?c k? thu?t,3670100,,2
Nam,1982,Thành ph? Hà N?i,K? thu?t,Khoa h?c k? thu?t,4000000,,1
Nam,1986,,K? thu?t,Khoa h?c k? thu?t,4800000,,#N/A
Nam,1989,Thành ph? Hà N?i,K? thu?t,Khoa h?c k? thu?t,5000000,,1
Nam,1987,,K? thu?t,Khoa h?c k? thu?t,5000000,,#N/A
Nam,1992,T?nh H?i Duong,K? Thu?t,Khoa h?c k? thu?t,4730000,Ðã k?t hôn,1
Nam,1997,T?nh Ð?ng Tháp,K? THU?T,Khoa h?c k? thu?t,4800000,,3
Nam,1992,T?nh Tuyên Quang,K? thu?t,Khoa h?c k? thu?t,7250000,,1
Nam,1989,Thành ph? Hà N?i,K? thu?t,Khoa h?c k? thu?t,4729400,,1
Nam,1990,T?nh Bình Duong,K? thu?t,Khoa h?c k? thu?t,4953000,,3
Nam,1994,T?nh Bình Phu?c,K? thu?t,Khoa h?c k? thu?t,5453700,,3
Nam,1996,T?nh Qu?ng Nam,K? thu?t,Khoa h?c k? thu?t,4000000,,2
Nam,1994,T?nh B?c Ninh,K? thu?t,Khoa h?c k? thu?t,4000000,,1
Nam,1985,,K? thu?t d?ng phim h?ng IV,Khoa h?c k? thu?t,0,,#N/A
Nam,1982,,K? thu?t máy Injection,Khoa h?c k? thu?t,9000000,,#N/A
Nam,1998,T?nh Phú Th?,K? thu?t máy may bao bì,Khoa h?c k? thu?t,3671000,,1
Nam,1990,,K? thu?t phòng Khuôn,Khoa h?c k? thu?t,6400000,,#N/A
Nam,1994,T?nh Yên Bái,K? thu?t s?n xu?t,Khoa h?c k? thu?t,7200000,,1
Nam,1999,Thành ph? H?i Phòng,K? thu?t s?a ch?a,Khoa h?c k? thu?t,6014000,,1
Nam,1999,T?nh Ð?ng Nai,K? THU?T T?I TRUNG TÂM,Khoa h?c k? thu?t,4729400,,3
Nam,1997,Thành ph? H? Chí Minh,K? THU?T T?I TRUNG TÂM,Khoa h?c k? thu?t,4729400,,3
Nam,1992,Thành ph? Hà N?i,K? thu?t thay khuôn,Khoa h?c k? thu?t,4700000,,1
Nam,1993,Thành ph? Hà N?i,K? thu?t viên,Khoa h?c k? thu?t,6000000,,1
Nam,1990,T?nh Trà Vinh,K? thu?t viên,Khoa h?c k? thu?t,4194400,,3
Nam,1995,T?nh Tuyên Quang,K? Thu?t Viên,Khoa h?c k? thu?t,3500000,,1
Nam,1992,T?nh B?c Giang,K? thu?t viên,Khoa h?c k? thu?t,6681000,,1
Nam,1992,,K? thu?t viên,Khoa h?c k? thu?t,5200000,,#N/A
Nam,1990,,K? thu?t viên,Khoa h?c k? thu?t,4390000,,#N/A
Nam,1991,,K? thu?t viên,Khoa h?c k? thu?t,5850000,,#N/A
Nam,1990,,K? thu?t viên,Khoa h?c k? thu?t,10930000,,#N/A
Nam,1992,,K? thu?t viên,Khoa h?c k? thu?t,6080000,,#N/A
Nam,1990,T?nh Hà Giang,K? thu?t viên,Khoa h?c k? thu?t,0,,1
Nam,1998,Thành ph? Hà N?i,K? thu?t viên,Khoa h?c k? thu?t,4800000,,1
Nam,1987,,K? thu?t viên,Khoa h?c k? thu?t,2140000,,#N/A
Nam,1993,,K? thu?t viên,Khoa h?c k? thu?t,5550000,,#N/A
Nam,1990,T?nh Thái Nguyên,K? thu?t viên,Khoa h?c k? thu?t,4100000,,1
Nam,1987,Thành ph? Hà N?i,K? thu?t viên,Khoa h?c k? thu?t,7729000,,1
Nam,1992,Thành ph? Hà N?i,K? thu?t viên,Khoa h?c k? thu?t,4729400,,1
Nam,1994,Thành ph? Hà N?i,K? thu?t viên,Khoa h?c k? thu?t,6600000,,1
Nam,1992,,K? thu?t viên,Khoa h?c k? thu?t,4100000,,#N/A
Nam,1997,,K? thu?t viên,Khoa h?c k? thu?t,6450000,,#N/A
Nam,1990,,K? thu?t viên,Khoa h?c k? thu?t,6720000,,#N/A
N?,1986,Thành ph? H?i Phòng,K? thu?t viên,Khoa h?c k? thu?t,6050000,Ðã k?t hôn,1
Nam,1993,,K? thu?t viên,Khoa h?c k? thu?t,6610000,,#N/A
Nam,1992,T?nh Bình Thu?n,K? thu?t viên,Khoa h?c k? thu?t,3974000,Ðã k?t hôn,2
Nam,1992,T?nh Ninh Bình,K? thu?t viên,Khoa h?c k? thu?t,4000000,,1
Nam,1991,T?nh Thái Bình,K? thu?t viên,Khoa h?c k? thu?t,6520000,,1
Nam,1997,T?nh Thái Nguyên,Ky~ thuâ?t viên,Khác,6300000,,1
Nam,1995,T?nh Bà R?a - Vung Tàu,K? Thu?t Viên,Khoa h?c k? thu?t,6923000,,3
Nam,1989,T?nh B?c Ninh,K? thu?t viên,Khoa h?c k? thu?t,5750000,,1
N?,1998,T?nh Ngh? An,Ky~ thuâ?t viên,Khác,5390000,,2
N?,2000,T?nh B?c Giang,K? thu?t viên 1,Khoa h?c k? thu?t,4600000,,1
Nam,1990,T?nh B?c Giang,K? thu?t viên 1,Khoa h?c k? thu?t,4800000,,1
Nam,1995,T?nh B?c Ninh,"K? thu?t viên B?o hành - Nhà máy S?n xu?t t? di?n, KCN Tiên Son, B?c Ninh",Khoa h?c k? thu?t,4200000,,1
Nam,1994,T?nh Hung Yên,K? thu?t viên B?o trì,Khoa h?c k? thu?t,8961000,,1
Nam,1975,,K? thu?t viên B? li?u,Khoa h?c k? thu?t,5686000,,#N/A
Nam,1996,T?nh Yên Bái,K? thu?t viên b? ph?n công trình,Khoa h?c k? thu?t,4730000,,1
Nam,1989,,K? thu?t viên c?p cao,Khoa h?c k? thu?t,7580000,,#N/A
Nam,1993,,K? thu?t viên c?p cao,Khoa h?c k? thu?t,6080000,,#N/A
Nam,1992,T?nh Thái Nguyên,Ky~ thuâ?t viên câ´p cao,Khác,6720000,,1
Nam,1991,,K? thu?t viên c?p cao,Khoa h?c k? thu?t,7430000,,#N/A
Nam,1989,,K? thu?t viên c?p cao,Khoa h?c k? thu?t,7690000,,#N/A
Nam,1993,,K? thu?t viên c?p cao,Khoa h?c k? thu?t,7840000,,#N/A
Nam,1992,,K? thu?t viên c?p cao,Khoa h?c k? thu?t,6080000,,#N/A
Nam,1993,,K? thu?t viên c?p cao,Khoa h?c k? thu?t,6400000,,#N/A
Nam,1994,T?nh Thanh Hóa,K? thu?t viên c?p cao,Khoa h?c k? thu?t,7240000,,2
Nam,1993,,K? thu?t viên c?p cao,Khoa h?c k? thu?t,5930000,,#N/A
Nam,1997,T?nh Qu?ng Nam,K? thu?t viên Ch?n doán hình ?nh,Khoa h?c k? thu?t,3485000,,2
Nam,1996,T?nh Qu?ng Ninh,K? thu?t viên dánh m?u Nhu?m - d?t kim,Khoa h?c k? thu?t,5000000,,1
Nam,1992,T?nh Hà Nam,K? thu?t viên d?i k? thu?t,Khoa h?c k? thu?t,5400000,,1
Nam,1998,T?nh Ð?k L?k,K? thu?t viên d?ng,Khoa h?c k? thu?t,3477500,,3
Nam,1988,T?nh Ð?ng Nai,K? thu?t viên d?ng máy khu v?c d?p lon,Khoa h?c k? thu?t,7631000,,3
Nam,1991,T?nh Ð?ng Nai,K? thu?t viên d?ng máy khu v?c máy in,Khoa h?c k? thu?t,7881000,,3
Nam,1992,T?nh Hà Nam,K? thu?t viên II,Khoa h?c k? thu?t,8290000,,1
Nam,1994,T?nh Thanh Hóa,K? thu?t viên II,Khoa h?c k? thu?t,8290000,,2
Nam,1991,T?nh Hung Yên,K? thu?t viên k? thu?t s?n xu?t,Khoa h?c k? thu?t,6200000,,1
Nam,1991,,K? thu?t viên lành ngh?,Khoa h?c k? thu?t,9720000,,#N/A
Nam,1994,,K? thu?t viên lành ngh?,Khoa h?c k? thu?t,11070000,,#N/A
Nam,1993,,K? thu?t viên lành ngh?,Khoa h?c k? thu?t,10020000,,#N/A
Nam,1993,,K? thu?t viên lành ngh?,Khoa h?c k? thu?t,11070000,,#N/A
Nam,1993,,K? thu?t viên lành ngh?,Khoa h?c k? thu?t,11070000,,#N/A
Nam,1990,,K? thu?t viên lành ngh?,Khoa h?c k? thu?t,7650000,,#N/A
Nam,1999,T?nh An Giang,K? thu?t viên liên khuôn,Khác,4590600,,3
N?,1986,T?nh Cao B?ng,K? thu?t viên luu tr? b?c 7/12,Khoa h?c k? thu?t,0,Ðã k?t hôn,1
Nam,2001,T?nh H?i Duong,K? thu?t viên máy CNC,Khoa h?c k? thu?t,4240000,,1
Nam,2000,T?nh Thanh Hóa,K? thu?t viên may công nghi?p,Khoa h?c k? thu?t,4743450,,2
Nam,1994,T?nh L?ng Son,Ky~ thuâ?t viên Ma´y gâ`m,Khác,4335000,,1
Nam,1983,T?nh Tuyên Quang,K? thu?t viên máy tính,Khoa h?c k? thu?t,3480000,,1
Nam,1984,T?nh Tuyên Quang,K? thu?t viên Phòng Báo di?n t?,Khoa h?c k? thu?t,0,,1
Nam,1986,T?nh Kon Tum,K? thu?t viên qu?n lý b?o v? r?ng (h?ng IV),Khoa h?c k? thu?t,0,,3
Nam,1997,T?nh Bình Ð?nh,K? thu?t viên s?n xu?t,Khoa h?c k? thu?t,7994160,,2
Nam,1993,T?nh Thanh Hóa,K? thu?t viên t?p s?-CGKT (NN-ÐH),Khoa h?c k? thu?t,5143450,,2
N?,1994,T?nh Phú Yên,K? thu?t viên xét nghi?m - Khoa xét nghi?m - CÐHA,Y t? và Cham sóc s?c kh?e,0,Ðã k?t hôn,2
Nam,1994,Thành ph? Hà N?i,"K? thu?t viên, khu công nghi?p Thu?n Thành 3, Thanh Khuong, Thu?n Thành, B?c Ninh",Khoa h?c k? thu?t,5056800,,1
Nam,1987,T?nh Phú Yên,"K? thu?t viên, Phòng K? thu?t (h? s? luong 2.26+ h? s? chênh l?ch b?o luu 0.04)",Khoa h?c k? thu?t,0,,2
Nam,2001,T?nh Kiên Giang,K? thu?t xem chuy?n,Khoa h?c k? thu?t,4750000,,3
Nam,1990,T?nh Thanh Hóa,K? Thu?t y h?ng IV-Khoa phòng khám,Khoa h?c k? thu?t,0,,2
Nam,1992,T?nh Khánh Hòa,Lái d?u máy xe l?a,Khác,6762600,,2
Nam,1987,,Lái d?u máy xe l?a,Khác,7646600,,#N/A
Nam,1986,T?nh Thanh Hóa,Lái máy,Giao thông v?n t?i,4729400,,2
Nam,1985,T?nh Ninh Bình,"Lái máy g?t, ?i công su?t du?i 180 CV",Giao thông v?n t?i,5264000,,1
Nam,1991,T?nh Hòa Bình,Lái máy xúc,Giao thông v?n t?i,3680000,Ðã k?t hôn,1
Nam,1994,T?nh Qu?ng Ninh,"Lái máy xúc dung tích g?u du?i 4m3, Tr?m ch? bi?n than",Giao thông v?n t?i,5378000,,1
Nam,1972,T?nh Long An,Lái xe,Giao thông v?n t?i,15000000,Ðã k?t hôn,3
Nam,1990,T?nh B?c Giang,Lái xe,Giao thông v?n t?i,8100000,,1
Nam,1993,T?nh Bình Phu?c,Lái xe,Giao thông v?n t?i,4194000,,3
Nam,1995,T?nh B?c Ninh,LÁI XE,Giao thông v?n t?i,4194400,,1
Nam,1992,Thành ph? Hà N?i,Lái xe,Giao thông v?n t?i,4729400,,1
Nam,1987,,Lái xe,Giao thông v?n t?i,4050000,,#N/A
Nam,1983,T?nh Qu?ng Ninh,Lái xe,Giao thông v?n t?i,3124400,,1
Nam,1991,,Lái xe,Giao thông v?n t?i,3520000,,#N/A
Nam,1988,Thành ph? Hà N?i,Lái xe,Giao thông v?n t?i,6000000,,1
Nam,1994,T?nh Cao B?ng,Lái xe,Giao thông v?n t?i,4195000,,1
Nam,1993,T?nh Qu?ng Ninh,Lái xe,Giao thông v?n t?i,3560000,,1
Nam,1997,T?nh B?c Giang,Lái xe,Giao thông v?n t?i,3680000,,1
Nam,1993,T?nh Nam Ð?nh,Lái xe,Giao thông v?n t?i,4730000,,1
Nam,1971,T?nh H?i Duong,Lái xe - Van phòng,Giao thông v?n t?i,0,,1
Nam,1994,T?nh Phú Th?,Lái xe 1 t?n,Giao thông v?n t?i,3300000,,1
Nam,1993,T?nh Kon Tum,Lái xe 7 ch?,Giao thông v?n t?i,0,,3
Nam,1992,Thành ph? Hà N?i,Lái xe 7 ch?,Giao thông v?n t?i,4800000,,1
Nam,1998,T?nh Thanh Hóa,Lái xe 7 ch?,Giao thông v?n t?i,6000000,,2
Nam,1990,T?nh Qu?ng Tr?,Lái xe 7 ch?,Giao thông v?n t?i,5560000,,2
Nam,1980,T?nh Cao B?ng,"Lái xe b?c 1/12, BHXH huy?n Qu?ng Hòa",B?o hi?m,0,,1
Nam,1994,Thành ph? Hà N?i,Lái xe con;Xí nghi?p Tiêu th?,Giao thông v?n t?i,8454660,,1
Nam,1998,T?nh Thái Nguyên,Lái xe công tru?ng,Giao thông v?n t?i,5000000,,1
Nam,1992,T?nh Thanh Hóa,Lái xe công ty s?n xu?t linh ki?n di?n t?,Giao thông v?n t?i,6318350,,2
Nam,1980,T?nh Lào Cai,"Lái xe KAZ tr?ng t?i 7,5m3 ch? nu?c tu?i du?ng, Chi nhánh Khai thác 1",Giao thông v?n t?i,5370000,,1
Nam,1992,T?nh B?c Ninh,Lái xe nâng,Giao thông v?n t?i,5000000,,1
Nam,1998,T?nh Ngh? An,Lái xe nâng,Giao thông v?n t?i,6090000,,2
Nam,1985,Thành ph? H?i Phòng,Lái xe nâng-Kho l?nh HP,Giao thông v?n t?i,5575000,,1
Nam,1991,T?nh Thái Nguyên,Lái xe rót than trên d?nh lò c?c,Giao thông v?n t?i,5488000,,1
Nam,1987,T?nh B?c K?n,Lái xe t?i,Giao thông v?n t?i,3704400,,1
Nam,1995,T?nh Lâm Ð?ng,Lái xe t?i 13 t?n,Giao thông v?n t?i,3700000,,3
Nam,2001,Thành ph? Hà N?i,Lái xe t?i du?i 3.5 t?n ch? hàng hóa,Giao thông v?n t?i,4200000,,1
Nam,1993,Thành ph? H?i Phòng,Lái xe t?i du?i 7 t?n,Giao thông v?n t?i,4800000,,1
Nam,1991,T?nh Ngh? An,Lái xe t?i h?ng n?ng trên 20 t?n,Giao thông v?n t?i,4000000,,2
Nam,1987,T?nh L?ng Son,Lái xe t?i trên 10 t?n,Giao thông v?n t?i,3773000,,1
Nam,1992,T?nh Qu?ng Tr?,Lái xe taxi,Giao thông v?n t?i,3103000,,2
Nam,1994,T?nh Qu?ng Ngãi,Lái xe Taxi 7 ch?,Giao thông v?n t?i,3477500,,2
Nam,1991,T?nh Hà Tinh,Lái xe Tra n?p xang d?u,Giao thông v?n t?i,7560000,,2
Nam,1984,T?nh Hà Tinh,Lái xe trên 40 ch? ng?i,Giao thông v?n t?i,3500000,Ðã k?t hôn,2
Nam,1992,T?nh Qu?ng Bình,Lái xe v?n t?i t? 7 t?n d?n du?i 20 t?n,Giao thông v?n t?i,4967000,,2
Nam,1991,T?nh Phú Th?,"Lái xe v?n t?i, có tr?ng t?i 20 t?n tr? lên",Giao thông v?n t?i,5200000,,1
Nam,1990,Thành ph? H?i Phòng,Lái xe Xitec tr?ng t?i 30 t?n,Giao thông v?n t?i,5500000,,1
Nam,1986,T?nh Thanh Hóa,La`m khuôn,Khác,4729400,,2
Nam,1994,,Làm vi?c trên d?nh lò c?c,Khác,5801600,,#N/A
Nam,1982,T?nh Thái Nguyên,"Làm vi?c tru?c lò luy?n gang, thép,c?c",Khác,6428800,,1
Nam,1986,T?nh Tây Ninh,Làm vu?n,Khác,8232181,,1
Nam,1994,T?nh L?ng Son,L?ng Son,Công nghi?p và s?n xu?t,5500000,,1
Nam,1989,T?nh Thanh Hóa,Lao công-D?n d?p nhà v? sinh công c?ng (Công nhân v? sinh toilet các xu?ng và van phòng),Hành chính - Van phòng,8634942,,2
Nam,1991,T?nh Lai Châu,Lao d?ng h?p d?ng,B?o v?-Lao d?ng ph? thông,7200000,,1
Nam,1977,,Lao d?ng h?p d?ng nhân viên b?o v?,Hành chính - Van phòng,4247000,,#N/A
Nam,1993,T?nh B?c K?n,"Lao d?ng h?p d?ng, Nhân viên bán vé",Hành chính - Van phòng,3486600,,1
Nam,1992,T?nh Ngh? An,"Lao d?ng h?p d?ng, Thuy?n viên (Thuy?n phó II) các tàu v?n t?i sông có công su?t t? 90 CV tr? lên",Giao thông v?n t?i,12634000,,2
Nam,1990,Thành ph? Hà N?i,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4641000,,1
Nam,1995,T?nh Ninh Thu?n,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,3745000,,2
Nam,1982,T?nh Hung Yên,Lao Ð?ng Ph? Thông,B?o v?-Lao d?ng ph? thông,3969700,,1
Nam,1991,T?nh Hà Tinh,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,3250000,,2
N?,2001,T?nh Bình Duong,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4700000,,3
Nam,1996,T?nh Bà R?a - Vung Tàu,Lao Ð?ng Ph? Thông,B?o v?-Lao d?ng ph? thông,4135000,,3
N?,2000,T?nh Thanh Hóa,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,3224000,,2
Nam,2000,T?nh Bình Duong,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4420000,Ðã k?t hôn,3
Nam,1998,Thành ph? H? Chí Minh,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4420000,,3
Nam,2001,T?nh Cà Mau,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,3540000,,3
Nam,1997,T?nh Ð?ng Nai,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4180000,,3
Nam,1996,T?nh Cà Mau,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4967000,,3
N?,1970,Thành ph? Hà N?i,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4420000,,1
Nam,1997,T?nh Ngh? An,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4729400,,2
Nam,1996,T?nh Qu?ng Nam,Lao dô?ng phô? thông,Khác,3710000,,2
Nam,1994,T?nh Phú Yên,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4800000,,2
Nam,1991,Thành ph? Hà N?i,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4500000,,1
Nam,2000,T?nh H?u Giang,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4730000,,3
Nam,1995,Thành ph? H? Chí Minh,Lao Ð?ng Ph? Thông,B?o v?-Lao d?ng ph? thông,4180000,,3
Nam,2001,T?nh Thái Nguyên,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4118100,,1
Nam,1996,Thành ph? H? Chí Minh,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4773600,,3
Nam,2000,T?nh Ð?ng Nai,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,4640000,,3
Nam,1982,T?nh Qu?ng Tr?,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,3070000,,2
Nam,1985,,Lao d?ng ph? thông,B?o v?-Lao d?ng ph? thông,3500000,,#N/A
Nam,1995,Thành ph? Hà N?i,Lao d?ng ph? thông - Chua qua dào t?o,Giáo d?c và Ðào t?o,4641000,,1
N?,2000,Thành ph? H? Chí Minh,Lao d?ng ph? thông - Ð?ng máy,B?o v?-Lao d?ng ph? thông,4420000,,3
N?,1988,,Lao d?ng ph? thông - Nhân viên Trung tâm GDMT&DVMTR,Hành chính - Van phòng,2400000,,#N/A
Nam,1994,Thành ph? Hà N?i,Lao d?ng ph? thông chua qua dào t?o,Giáo d?c và Ðào t?o,4641000,,1
Nam,1998,Thành ph? Hà N?i,Lao d?ng ph? thông chua qua dào t?o,Giáo d?c và Ðào t?o,4641000,,1
Nam,1998,Thành ph? Hà N?i,Lao d?ng ph? thông chua qua dào t?o,Giáo d?c và Ðào t?o,4641000,,1
Nam,2000,Thành ph? Hà N?i,Lao Ð?ng Ph? Thông Chua Qua Ðào T?o,Giáo d?c và Ðào t?o,4641000,,1
Nam,1984,T?nh Ð?ng Nai,LAO Ð?NG PT,B?o v?-Lao d?ng ph? thông,4420000,,3
Nam,1992,T?nh Qu?ng Ninh,Lao d?ng th? công,Công nghi?p và s?n xu?t,3430000,,1
Nam,1996,Thành ph? H? Chí Minh,LAO Ð?NG TR?C TI?P 2,B?o v?-Lao d?ng ph? thông,5337000,,3
Nam,1987,T?nh Ti?n Giang,L?p d?t du?ng ?ng,Công nghi?p và s?n xu?t,5566400,,3
Nam,1990,T?nh Nam Ð?nh,L?p trình viên,Công ngh? thông tin,4729400,,1
Nam,1991,Thành ph? Hà N?i,L?p trình viên,Công ngh? thông tin,4800000,,1
N?,1989,T?nh Lào Cai,L?y m?u phân tích qu?ng Apatit phòng ki?m soát ch?t lu?ng,Khác,5934400,,1
Nam,1989,T?nh Qu?ng Ninh,"L?y m?u, hóa nghi?m phân tích than",Khác,7874000,,1
Nam,1988,T?nh Qu?ng Ninh,"L?y m?u, hoá nghi?m phân tích than.",Khác,5219000,,1
Nam,1984,T?nh Qu?ng Ninh,"L?y m?u, hoá nghi?m phân tích than.",Khác,5753000,,1
Nam,1994,T?nh Thanh Hóa,LÐPT,B?o v?-Lao d?ng ph? thông,4405000,,2
Nam,2002,T?nh Ti?n Giang,LÐPT,B?o v?-Lao d?ng ph? thông,4405000,,3
N?,2002,Thành ph? H? Chí Minh,L? tân,Hành chính - Van phòng,4950000,,3
Nam,1998,T?nh Bình Phu?c,"L? tân - Tân Bình, HCM Vùng 1",Hành chính - Van phòng,4729400,,3
Nam,2000,T?nh Vinh Phúc,Leader s?n xu?t,Công nghi?p và s?n xu?t,4370000,,1
Nam,1998,T?nh Bình Phu?c,"L?c Quang, L?c Ninh, Bình Phu?c",Khác,5128760,,3
Nam,1994,T?nh Tuyên Quang,L?p Phó C?t,Khác,5007500,,1
N?,2002,T?nh Ð?ng Nai,"Mài nh?n m?t da, l?ng da",Khác,4694300,,3
Nam,1991,T?nh Bà R?a - Vung Tàu,"MÀI NH?N M?T DA, L?NG DA. (MÀI Ð?, MÀI THÔ-CÔNG NHÂN)",Công nghi?p và s?n xu?t,6432500,,3
Nam,1992,T?nh B?c Ninh,Manufacturing Operator,Khác,5800000,,1
Nam,1993,,Manufacturing Operator VNM/Nhân vên,Khác,6300000,,#N/A
Nam,1998,Thành ph? H? Chí Minh,Manufacturing Operator/Nhân viên,Hành chính - Van phòng,9548000,,3
Nam,1995,Thành ph? H? Chí Minh,Manufacturing Operator/Nhân viên,Hành chính - Van phòng,7382340,,3
Nam,1990,T?nh H?i Duong,M?u d?ch viên bán l? xang d?u,Kinh doanh,4388712,,1
Nam,1994,T?nh L?ng Son,May,Công nghi?p và s?n xu?t,3970000,,1
N?,1996,T?nh Ð?k L?k,May công nghi?p,Công nghi?p và s?n xu?t,5314000,,3
N?,1999,T?nh Bình Ð?nh,May công nghi?p,Công nghi?p và s?n xu?t,4966000,,2
N?,1996,T?nh Ð?ng Tháp,May công nghi?p,Công nghi?p và s?n xu?t,4966000,,3
N?,1992,T?nh Tây Ninh,May máy tr? 2 kim,Công nghi?p và s?n xu?t,3846300,,1
Nam,1997,T?nh Tuyên Quang,Máy tru?ng t? D?p h?n,Khác,4730000,,1
N?,1999,T?nh Ngh? An,N.Viên Ðóng Gói,Công nghi?p và s?n xu?t,4179000,,2
Nam,1994,T?nh Thái Nguyên,N?p li?u lò cao,Khác,5566400,,1
N?,1988,T?nh Bình Duong,Ngu?i hu?n luy?n,Khác,9550000,,3
N?,1991,,Nh?n và tr? k?t qu?,Khác,1490000,,#N/A
Nam,1997,Thành ph? H? Chí Minh,Nhan vien,Khác,4729400,,3
Nam,1989,T?nh Gia Lai,Nhân viên,Hành chính - Van phòng,4200000,,3
Nam,1999,Thành ph? Hà N?i,NHÂN VIÊN,Hành chính - Van phòng,4800000,,1
Nam,1997,T?nh Ngh? An,Nhân viên,Hành chính - Van phòng,4750000,,2
Nam,1993,T?nh Qu?ng Bình,Nhân viên,Hành chính - Van phòng,3700000,,2
Nam,1979,Thành ph? H? Chí Minh,Nhân viên,Hành chính - Van phòng,6000000,,3
Nam,1996,Thành ph? Hà N?i,Nhân viên,Hành chính - Van phòng,5220000,,1
N?,1985,Thành ph? Hà N?i,Nhân viên,Hành chính - Van phòng,4729400,Ðã k?t hôn,1
Nam,1989,Thành ph? Hà N?i,Nhân viên,Hành chính - Van phòng,4729400,,1
Nam,1982,Thành ph? H? Chí Minh,Nhân viên,Hành chính - Van phòng,4750000,,3
Nam,1992,T?nh Bình Duong,Nhân viên,Hành chính - Van phòng,4730000,,3
Nam,1996,T?nh B?c Giang,Nhân viên,Hành chính - Van phòng,5450000,,1
Nam,1992,Thành ph? H? Chí Minh,Nhân viên,Hành chính - Van phòng,4729400,,3
Nam,1990,T?nh Tây Ninh,Nhân viên,Hành chính - Van phòng,7131247,,1
N?,1982,T?nh Qu?ng Ninh,Nhân viên,Hành chính - Van phòng,4000000,Ðã k?t hôn,1
Nam,1990,T?nh Vinh Phúc,Nhân viên,Hành chính - Van phòng,5434000,,1
N?,1986,T?nh B?c Ninh,Nhân viên,Hành chính - Van phòng,4194400,,1
Nam,2001,Thành ph? H? Chí Minh,Nhân viên,Hành chính - Van phòng,4750000,,3
Nam,1990,T?nh Ð?ng Nai,Nhân viên,Hành chính - Van phòng,3750000,,3
Nam,1996,T?nh H?i Duong,Nhân viên,Hành chính - Van phòng,6070000,,1
N?,1994,Thành ph? Hà N?i,Nhân viên,Hành chính - Van phòng,3284900,,1
Nam,1989,T?nh Nam Ð?nh,Nhân viên,Hành chính - Van phòng,4200000,,1
Nam,1995,,Nhân viên,Hành chính - Van phòng,4729400,,#N/A
Nam,1994,T?nh Ð?ng Nai,Nhân viên,Hành chính - Van phòng,11000000,,3
Nam,1980,Thành ph? H? Chí Minh,Nhân viên,Hành chính - Van phòng,4973000,,3
Nam,1987,,Nhân viên,Hành chính - Van phòng,1500000,,#N/A
Nam,1989,,Nhân viên,Hành chính - Van phòng,2900000,,#N/A
Nam,1996,Thành ph? H? Chí Minh,NHÂN VIÊN,Hành chính - Van phòng,7500000,,3
Nam,1994,T?nh Phú Th?,Nhân viên,Hành chính - Van phòng,4480000,,1
Nam,1994,Thành ph? Hà N?i,Nhân Viên,Hành chính - Van phòng,4800000,,1
